locationId,providerId,locationName,registrationStatus,registrationDate,addressLine1,town,postcode,region,localAuthority,constituency,latitude,longitude,phoneNumber,regulatedActivities,gacServiceTypes,overallRating,overallRatingDate,numberOfBeds,website
1-12963941567,1-11205878606,River Stone (UK) Limited,Registered,19/04/2022,31 Monarch Drive,Sittingbourne,ME10 2GE,South East,Kent,Sittingbourne and Sheppey,51.364057,0.7413661,7507824426,Personal care,Homecare agencies,Good,11/08/2023,0,www.riverstonecare.co.uk
1-13007329290,1-101721009,Beech Tree Total Care – Thanet,Registered,21/04/2022,"3rd Floor, Mill Lane House",Margate,CT9 1LB,South East,Kent,East Thanet,51.3858172,1.3827391,1843292925,Personal care,Homecare agencies; Supported housing,Requires improvement,06/11/2021,0,www.careathomeservices.co.uk
1-13031566881,1-11272724745,Bracknell House Head Office,Registered,28/04/2022,34 Helena Road,Folkestone,CT18 7LQ,South East,Kent,Dover and Deal,51.103684,1.216154,7899916908,Personal care,Supported living,,,0,
1-13050637487,1-11378951853,Universal Resolutions Ltd,Registered,29/04/2022,37-45 Balmoral Road,Gillingham,ME7 4NT,South East,Medway,Gillingham and Rainham,51.3863832,0.5502733,,Personal care,Homecare agencies; Supported living,,,0,
1-13135054562,1-13043681177,Mulberry House,Registered,01/07/2022,159 Barnsole Road,Gillingham,ME7 4JH,South East,Medway,Gillingham and Rainham,51.378611,0.558218,1634280703,Personal care,Homecare agencies,Good,26/05/2018,0,www.purecareuk.com
1-13212876086,1-10638062575,Q Leaf Care Limited,Registered,16/06/2022,14-16,Deal,CT14 6ES,South East,Kent,Dover and Deal,51.2230349,1.4039257,1304793060,Personal care,Homecare agencies,,,0,www.qleafcare.co.uk
1-13325950740,1-11975383825,The Bliss Homes Adult Services Ltd,Registered,15/07/2022,2 Millbrook Meadow,Ashford,TN23 4XL,South East,Kent,Ashford,51.1429272,0.84963,7495866318,Personal care,Homecare agencies; Supported living,,,0,cupidhomesandsupportservices.co.uk
1-133266850,1-101677610,Kent Shared Lives,Registered,17/01/2011,Kroner House,Ashford,TN24 8XU,South East,Kent,Ashford,51.1625208,0.8668477,3000412400,Personal care,Shared lives,Good,02/08/2017,0,www.kent.gov.uk/sharedlives
1-13330949714,1-4095054376,Angelus Homecare - Ashford,Registered,17/08/2022,30 North Street,Ashford,TN24 8JR,South East,Kent,Ashford,51.1504527,0.8735445,1233360018,Personal care,Homecare agencies,Requires improvement,30/12/2022,0,curantcare.co.uk
1-13401759424,1-4573404418,Intrinsic Care- Dartford,Registered,22/06/2022,Regus House,Dartford,DA2 6QD,South East,Kent,Dartford,51.455655,0.248784,1634931226,Personal care,Homecare agencies,,,0,
